	E1	E3	E5	E7	E8	F1	F3	F7	G3	G5	G7	G8	I1	I3	I5	I7	I8	P1	P3	P5	P7	S1	S3	S8
Aqu2.1.17321_001	1	16	6	94	0	9	3	6	9	8	4	8	1	49	38	5	19	2	17	12	10	21	4	9
Aqu2.1.17322_001	0	0	0	10	1	2	2	1	7	10	1	4	2	23	42	0	3	5	8	7	1	5	0	3
Aqu2.1.17323_001	0	0	3	8	0	0	1	0	1	2	0	0	0	3	11	0	2	0	2	0	3	1	0	1
Aqu2.1.17324_001	0	0	1	2	0	0	0	0	0	2	0	0	0	2	2	1	1	0	5	1	0	3	0	8
Aqu2.1.17325_001	0	3	0	7	0	0	1	0	0	0	0	0	1	17	8	0	0	1	2	1	0	4	0	1
Aqu2.1.17326_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqu2.1.17327_001	0	5	1	20	0	0	0	1	1	0	1	0	0	10	3	2	3	0	2	3	0	1	1	1
Aqu2.1.17328_001	21	17	21	41	17	23	4	15	34	34	14	9	25	29	30	124	16	234	35	46	9	170	79	27
Aqu2.1.17329_001	6	16	5	57	6	5	5	4	35	16	1	1	12	52	97	19	8	12	37	19	6	34	2	3
Aqu2.1.17330_001	4	11	0	21	0	11	1	2	5	6	2	1	25	14	27	3	9	0	15	10	2	11	1	1
Aqu2.1.17331_001	6	9	8	71	2	16	8	4	26	9	6	9	11	57	237	4	19	3	39	38	12	29	10	8
Aqu2.1.17332_001	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Aqu2.1.17333_001	2	3	0	3	0	7	0	0	3	3	2	2	7	22	58	0	1	4	29	17	7	1	2	7
Aqu2.1.17334_001	0	0	0	0	0	0	1	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	0	1
Aqu2.1.17335_001	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0
Aqu2.1.17336_001	0	0	0	9	0	6	0	0	2	1	1	0	0	12	10	0	3	1	11	1	0	2	0	0
Aqu2.1.17337_001	0	1	0	3	0	7	0	0	3	2	2	0	3	4	25	0	0	0	11	4	0	0	0	7
Aqu2.1.17338_001	1	3	1	11	1	5	1	1	9	3	2	1	8	21	16	1	2	0	11	21	10	1	0	1
Aqu2.1.17339_001	1	3	0	5	0	2	0	0	1	1	0	0	0	0	4	0	7	1	8	1	0	2	1	0
Aqu2.1.17340_001	0	12	2	29	1	9	3	4	8	11	4	7	2	30	41	4	3	3	24	15	4	14	2	3
Aqu2.1.17341_001	0	0	0	11	0	1	1	5	0	2	0	7	0	2	3	1	0	0	2	2	10	11	0	5
Aqu2.1.17342_001	1	11	9	38	0	5	3	2	4	2	4	2	19	14	27	3	9	1	21	23	6	14	3	2
Aqu2.1.17343_001	0	9	6	27	0	3	5	1	2	6	9	1	0	17	9	0	7	0	10	2	0	1	0	1
Aqu2.1.17344_001	0	4	2	15	0	1	2	1	4	1	0	3	3	16	11	0	0	0	5	5	0	5	0	1
Aqu2.1.17345_001	0	2	0	4	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
Aqu2.1.17346_001	0	0	0	6	0	2	0	0	0	0	0	0	0	2	7	0	0	1	0	0	0	0	0	0
Aqu2.1.17347_001	0	2	0	5	0	0	0	0	2	6	0	0	0	0	3	0	1	1	4	0	1	1	0	0
Aqu2.1.17348_001	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Aqu2.1.17349_001	0	0	0	0	0	3	0	0	0	1	0	0	0	1	6	0	0	0	4	0	0	0	0	0
Aqu2.1.17350_001	0	2	2	11	0	0	1	3	0	0	0	1	0	1	4	0	0	1	1	3	3	2	0	1
Aqu2.1.17351_001	0	3	0	3	1	0	0	0	1	0	0	0	0	3	16	0	0	0	0	1	0	0	0	0
Aqu2.1.17352_001	0	1	0	3	1	0	0	0	1	0	1	2	1	4	9	0	0	0	4	2	1	0	0	0
Aqu2.1.17353_001	0	3	0	10	0	2	0	0	1	0	2	0	0	2	2	0	0	0	4	4	0	0	0	0
Aqu2.1.17354_001	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	4	0	0
Aqu2.1.17355_001	2	5	4	20	0	7	1	0	7	3	6	1	7	5	24	3	7	19	18	7	2	15	3	1
Aqu2.1.17356_001	1	1	1	5	0	0	1	0	2	6	4	1	0	3	7	0	0	0	3	3	0	0	2	2
Aqu2.1.17357_001	0	3	1	12	0	0	0	0	5	2	0	1	2	10	24	0	0	1	5	14	1	0	0	0
Aqu2.1.17358_001	0	1	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0
Aqu2.1.17359_001	0	3	0	33	0	5	2	1	3	0	0	0	0	5	8	0	8	0	2	4	0	3	0	3
Aqu2.1.17360_001	0	1	1	3	0	4	6	2	0	1	0	0	0	1	10	0	0	3	8	3	1	0	0	1
Aqu2.1.17361_001	1	0	2	14	1	3	2	0	2	1	0	1	0	11	3	1	1	0	9	3	0	9	1	0
Aqu2.1.17362_001	0	2	0	9	0	0	1	0	2	1	0	0	0	2	19	0	1	0	3	0	5	0	1	0
Aqu2.1.17363_001	0	0	0	1	2	0	2	0	1	2	2	5	2	12	24	1	1	0	6	2	0	1	0	2
Aqu2.1.17364_001	0	0	1	2	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0
Aqu2.1.17365_001	0	4	1	10	0	4	3	0	0	2	3	0	1	16	39	1	1	1	11	3	0	1	2	2
Aqu2.1.17366_001	0	0	0	5	1	3	0	0	0	4	1	0	0	4	1	0	1	0	4	4	0	0	0	2
Aqu2.1.17367_001	0	0	0	0	0	0	0	0	0	1	1	1	0	3	3	0	3	0	0	8	0	1	0	0
Aqu2.1.17368_001	0	3	0	17	0	2	0	0	7	1	1	0	13	22	7	0	5	0	3	3	1	5	1	2
Aqu2.1.17369_001	0	1	3	0	0	0	0	5	3	3	1	1	5	5	5	0	0	0	10	0	0	7	2	0
Aqu2.1.17370_001	0	0	4	3	0	3	2	4	6	3	3	2	12	14	15	1	12	0	6	6	2	6	0	0
Aqu2.1.17371_001	0	0	0	0	0	0	0	0	1	2	0	1	0	3	1	0	0	0	4	2	0	3	0	0
Aqu2.1.17372_001	0	1	0	4	0	0	2	0	0	3	0	1	6	2	1	0	0	0	2	1	1	0	0	1
Aqu2.1.17373_001	0	1	0	1	0	1	0	0	0	0	0	2	0	3	0	0	0	0	0	1	0	1	1	2
Aqu2.1.17374_001	2	4	2	16	1	5	1	2	6	1	6	0	3	17	24	1	3	2	11	2	0	12	4	2
Aqu2.1.17375_001	0	6	0	4	2	2	0	0	17	3	3	3	1	27	128	1	3	0	17	17	1	0	0	3
Aqu2.1.17376_001	1	4	0	7	0	2	0	1	1	1	0	1	8	5	13	1	0	0	10	6	7	0	0	0
Aqu2.1.17377_001	0	0	0	0	0	0	0	0	1	1	0	3	1	2	0	0	0	0	6	1	0	0	0	0
Aqu2.1.17378_001	0	4	0	3	0	0	0	0	3	0	0	0	2	5	13	0	0	1	8	2	0	5	2	0
Aqu2.1.17379_001	14	11	8	24	1	6	2	5	3	6	3	0	8	27	11	6	4	57	23	21	2	8	7	3
Aqu2.1.17380_001	0	28	3	107	0	16	3	1	6	3	2	0	5	39	83	5	16	1	20	11	12	34	9	3
Aqu2.1.17381_001	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0
Aqu2.1.17382_001	0	1	0	5	0	1	1	1	0	1	0	2	2	2	6	2	0	0	12	1	1	3	0	0
Aqu2.1.17383_001	2	11	2	25	0	0	3	4	6	6	1	0	5	16	35	0	4	4	26	1	10	17	0	1
Aqu2.1.17384_001	1	3	0	5	0	3	2	1	4	1	1	2	5	11	35	0	8	0	17	3	1	4	3	1
Aqu2.1.17385_001	0	9	0	8	2	0	0	1	1	1	0	0	0	11	2	0	1	0	5	1	1	1	0	0
Aqu2.1.17386_001	0	0	0	1	0	0	0	0	2	1	0	0	0	0	5	1	0	0	2	4	0	0	0	2
Aqu2.1.17387_001	0	7	0	1	0	5	0	0	1	0	0	0	0	1	6	0	0	0	20	6	1	4	1	1
Aqu2.1.17388_001	1	5	5	14	1	8	1	2	5	1	4	0	0	16	42	0	3	0	30	15	11	3	2	0
Aqu2.1.17389_001	0	0	0	2	0	0	0	0	5	0	0	0	1	2	4	0	1	0	1	1	0	0	1	0
Aqu2.1.17390_001	0	1	1	7	0	0	0	0	0	0	0	0	0	1	8	0	0	0	1	1	0	1	0	0
Aqu2.1.17391_001	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	8	0	8	0	0	0
Aqu2.1.17392_001	0	0	4	11	0	3	1	7	12	3	4	0	5	31	75	3	2	1	38	42	2	5	1	0
Aqu2.1.17393_001	0	0	3	4	0	2	0	0	17	1	1	1	4	13	120	1	1	0	2	3	3	2	0	8
Aqu2.1.17394_001	0	1	1	1	0	0	1	1	1	0	0	0	0	8	0	0	0	0	3	0	0	1	0	0
Aqu2.1.17395_001	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	1	0	0
Aqu2.1.17396_001	0	4	1	17	0	3	3	1	4	4	1	1	1	15	11	0	2	0	23	8	3	1	0	3
Aqu2.1.17397_001	0	1	0	2	0	1	0	0	1	0	1	0	0	1	3	0	2	0	10	0	1	1	0	0
Aqu2.1.17398_001	0	1	0	15	0	2	0	0	1	1	2	0	1	2	3	0	3	0	20	2	0	4	1	0
Aqu2.1.17399_001	2	5	0	23	1	11	1	1	3	1	0	2	6	3	2	1	5	1	7	5	5	13	1	2
Aqu2.1.17400_001	1	2	12	8	0	2	0	1	3	9	1	1	0	13	3	2	1	0	3	2	5	0	2	2
Aqu2.1.17401_001	2	12	5	66	0	11	1	9	10	8	8	4	18	31	61	3	8	1	54	35	2	24	3	4
Aqu2.1.17402_001	1	0	1	4	1	3	1	1	3	2	0	2	8	4	23	1	2	0	21	9	4	6	0	5
Aqu2.1.17403_001	0	5	1	21	0	6	1	2	8	5	3	2	4	29	49	2	7	2	36	22	5	7	0	6
Aqu2.1.17404_001	1	0	7	10	2	2	1	0	10	1	1	0	2	14	6	5	3	2	11	19	3	1	1	1
